"cuenta";"descripcion";"cuentaesp"
"2423";"Créditos a largo plazo a empresas del grupo";""
"2424";"Créditos a largo plazo a empresas asociadas";""
"2425";"Créditos a largo plazo a otras partes vinculadas";""
"2493";"Desembolsos pendientes sobre participaciones a largo plazo en empresas del grupo.";""
"2494";"Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas.";""
"2495";"Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas";""
"25";"Otras inversiones financieras a largo plazo";""
"250";"Inversiones financieras a largo plazo en instrumentos de patrimonio";""
"251";"Valores representativos de deuda a largo plazo";""
"252";"Créditos a largo plazo";""
"253";"Créditos a largo plazo por enajenación de inmovilizado";""
"254";"Créditos a largo plazo al personal";""
"2550";"Activos por derivados financieros a largo plazo, cartera de negociación";""
"2553";"Activos por derivados financieros a largo plazo, instrumentos de cobertura";""
"257";"Derechos de reembolso derivados de contratos de seguro relativos a retribuciones a largo plazo al personal";""
"258";"Imposiciones a largo plazo";""
"259";"Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo";""
"26";"Fianzas y depositos constituidos a largo plazo";""
"260";"Fianzas constituidas a largo plazo";""
"265";"Depósitos constituidos a largo plazo";""
"28";"Amortizacion acumulada del inmovilizado";""
"2800";"Amortización acumulada de investigación";""
"2801";"Amortización acumulada de desarrollo";""
"2802";"Amortización acumulada de concesiones administrativas";""
"2803";"Amortización acumulada de propiedad industrial";""
"2805";"Amortización acumulada de derechos de traspaso";""
"2806";"Amortización acumulada de aplicaciones informáticas";""
"2811";"Amortización acumulada de construcciones";""
"2812";"Amortización acumulada de instalaciones técnicas";""
"2813";"Amortización acumulada de maquinaria";""
"2814";"Amortización acumulada de utillaje";""
"2815";"Amortización acumulada de otras instalaciones";""
"2816";"Amortización acumulada de mobiliario";""
"2817";"Amortización acumulada de equipos para procesos de información";""
"2818";"Amortización acumulada de elementos de transporte";""
"2819";"Amortización acumulada de otro inmovilizado material";""
"282";"Amortización acumulada de las inversiones inmobiliarias";""
"29";"Deterioro de valor de activos no corrientes";""
"2900";"Deterioro de valor de investigación";""
"2901";"Deterioro del valor de desarrollo";""
"2902";"Deterioro de valor de concesiones administrativas";""
"2903";"Deterioro de valor de propiedad industrial";""
"2905";"Deterioro de valor de derechos de traspaso";""
"2906";"Deterioro de valor de aplicaciones informáticas";""
"2910";"Deterioro de valor de terrenos y bienes naturales";""
"2911";"Deterioro de valor de construcciones";""
"2912";"Deterioro de valor de instalaciones técnicas";""
"2913";"Deterioro de valor de maquinaria";""
"2914";"Deterioro de valor de utillaje";""
"2915";"Deterioro de valor de otras instalaciones";""
"2916";"Deterioro de valor de mobiliario";""
"2917";"Deterioro de valor de equipos para procesos de información";""
"2918";"Deterioro de valor de elementos de transporte";""
"2919";"Deterioro de valor de otro inmovilizado material";""
"2920";"Deterioro de valor de los terrenos y bienes naturales";""
"2921";"Deterioro de valor de construcciones";""
"2933";"Deterioro de valor de participaciones a largo plazo en empresas del grupo";""
"2934";"Deterioro de valor de participaciones a largo plazo en empresas asociadas";""
"2943";"Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo";""
"2944";"Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas";""
"2945";"Deterioro de valor de valores representativos de deuda a largo plazo de otras partes vinculadas";""
"2953";"Deterioro de valor de créditos a largo plazo a empresas del grupo";""
"2954";"Deterioro de valor de créditos a largo plazo a empresas asociadas";""
"2955";"Deterioro de valor de créditos a largo plazo a otras partes vinculadas";""
"297";"Deterioro de valor de valores representativos de deuda a largo plazo";""
"298";"Deterioro de valor de créditos a largo plazo";""
"3";"Existencias";""
"30";"Comerciales";""
"300";"Mercaderías a";""
"301";"Mercaderías b";""
"31";"Materias primas";""
"310";"Materias primas a";""
"311";"Materias primas b";""
"32";"Otros aprovisionamientos";""
"320";"Elementos y conjuntos incorporables";""
"321";"Combustibles";""
"322";"Repuestos";""
"325";"Materiales diversos";""
"326";"Embalajes";""
"327";"Envases";""
"328";"Material de oficina";""
"33";"Productos en curso";""
"330";"Productos en curso a";""
"331";"Productos en curso b";""
"34";"Productos semiterminados";""
"340";"Productos semiterminados a";""
"341";"Productos semiterminados b";""
"35";"Productos terminados";""
"350";"Productos terminados a";""
"351";"Productos terminados b";""
"36";"Subproductos, residuos y materiales recuperados";""
"360";"Subproductos a";""
"361";"Subproductos b";""
"365";"Residuos a";""
"366";"Residuos b";""
"368";"Materiales recuperados a";""
"369";"Materiales recuperados b";""
"39";"Deterioro de valor de las existencias";""
"390";"Deterioro de valor de las mercaderías";""
"391";"Deterioro de valor de las materias primas";""
"392";"Deterioro de valor de otros aprovisionamientos";""
"393";"Deterioro de valor de los productos en curso";""
"394";"Deterioro de valor de los productos semiterminados";""
"395";"Deterioro de valor de los productos terminados";""
"396";"Deterioro de valor de los subproductos, residuos y materiales recuperados";""
"4";"Acreedores y deudores por operaciones comerciales";""
"40";"Proveedores";""
"400";"Proveedores";"PROVEE"
"4004";"Proveedores (moneda extranjera)";"PROVEE"
"4009";"Proveedores, facturas pendientes de recibir o de formalizar";"PROVEE"
"401";"Proveedores, efectos comerciales a pagar";"PROVEE"
"4030";"Proveedores, empresas del grupo (euros)";"PROVEE"
"4031";"Efectos comerciales a pagar, empresas del grupo";"PROVEE"
"4034";"Proveedores, empresas del grupo (moneda extranjera)";"PROVEE"
"4036";"Envases y embalajes a devolver a proveedores, empresas del grupo";"PROVEE"
"4039";"Proveedores, empresas del grupo, facturas pendientes de recibir o de formalizar";"PROVEE"
"404";"Proveedores, empresas asociadas";"PROVEE"
"405";"Proveedores, otras partes vinculadas";""
"406";"Envases y embalajes a devolver a proveedores";"PROVEE"
"407";"Anticipos a proveedores";"PROVEE"
"41";"Acreedores varios";""
"410";"Acreedores";"ACREED"
"4104";"Acreedores por prestaciones de servicios, (moneda extranjera)";"ACREED"
"4109";"Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar";"ACREED"
"411";"Acreedores, efectos comerciales a pagar";"ACREED"
"419";"Acreedores por operaciones en común";"ACREED"
"43";"Clientes";""
"430";"Clientes";"CLIENT"
"4304";"Clientes (moneda extranjera)";""
"4309";"Clientes, facturas pendientes de formalizar";"CLIENT"
"4310";"Efectos comerciales en cartera";"CLIENT"
"4311";"Efectos comerciales descontados";"CLIENT"
"4312";"Efectos comerciales en gestión de cobro";"CLIENT"
"4315";"Efectos comerciales impagados";"CLIENT"
"432";"Clientes, operaciones de factoring";""
"4330";"Clientes empresas del grupo (euros)";"CLIENT"
"4331";"Efectos comerciales a cobrar, empresas del grupo";"CLIENT"
"4332";"Clientes empresas del grupo, operaciones de factoring";""
"4334";"Clientes empresas del grupo (moneda extranjera)";"CLIENT"
"4336";"Clientes empresas del grupo de dudoso cobro";""
"4337";"Envases y embalajes a devolver a clientes, empresas del grupo";"CLIENT"
"4339";"Clientes empresas del grupo, facturas pendientes de formalizar";"CLIENT"
"434";"Clientes, empresas asociadas";"CLIENT"
"435";"Clientes, otras partes vinculadas";""
"436";"Clientes de dudoso cobro";"CLIENT"
"437";"Envases y embalajes a devolver por clientes";"CLIENT"
"438";"Anticipos de clientes";"CLIENT"
"44";"Deudores varios";""
"4400";"Deudores (euros)";"CLIENT"
"4404";"Deudores (moneda extranjera)";"CLIENT"
"4409";"Deudores, facturas pendientes de formalizar";"CLIENT"
"4410";"Deudores, efectos comerciales en cartera";"CLIENT"
"4411";"Deudores, efectos comerciales descontados";"CLIENT"
"4412";"Deudores, efectos comerciales en gestión de cobro";"CLIENT"
"4415";"Deudores, efectos comerciales impagados";"CLIENT"
"446";"Deudores de dudoso cobro";"CLIENT"
"449";"Deudores por operaciones en común";"CLIENT"
"46";"Personal";""
"460";"Anticipos de remuneraciones";""
"465";"Remuneraciones pendientes de pago";""
"466";"Remuneraciones mediante sistemas de aportación definida pendientes de pago";""
"47";"Administraciones publicas";""
"4700";"Hacienda pública, deudora por iva";"IVADEU"
"4708";"Hacienda pública, deudora por subvenciones concedidas";""
"4709";"Hacienda pública, deudora por devolución de impuestos";""
"471";"Organismos de la seguridad social, deudores";""
"472";"Hacienda pública, iva soportado";"IVASOP"
"473";"Hacienda pública, retenciones y pagos a cuenta";"IRPF"
"4740";"Activos por diferencias temporarias deducibles";""
"4742";"Derechos por deducciones y bonificaciones pendientes de aplicar";""
"4745";"Crédito por pérdidas a compensar del ejercicio";""
"4750";"Hacienda pública, acreedora por iva";"IVAACR"
"4751";"Hacienda pública, acreedora por retenciones practicadas";"IRPFPR"
"4752";"Hacienda pública, acreedora por impuesto sobre sociedades";""
"4758";"Hacienda pública, acreedora por subvenciones a reintegrar";""
"476";"Organismos de la seguridad social, acreedores";""
"477";"Hacienda pública, iva repercutido";"IVAREP"
"479";"Pasivos por diferencias temporarias imponibles";""
"48";"Ajustes por periodificacion";""
"480";"Gastos anticipados";""
"485";"Ingresos anticipados";""
"49";"Deterioro de valor de creditos comerciales y provisiones a corto plazo";""
"490";"Deterioro de valor de créditos por operaciones comerciales";""
"4933";"Deterioro de valor de créditos por operaciones comerciales con empresas del grupo";""
"4934";"Deterioro de valor de créditos por operaciones comerciales con empresas asociadas";""
"4935";"Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas";""
"4994";"Provisión por contratos onerosos";""
"4999";"Provisión para otras operaciones comerciales";""
"5";"Cuentas financieras";""
"50";"Emprestitos, deudas con caracteristicas especiales y otras emisiones analogas a corto plazo";""
"500";"Obligaciones y bonos a corto plazo";""
"501";"Obligaciones y bonos convertibles a corto plazo";""
"502";"Acciones o participaciones a corto plazo consideradas como pasivos financieros";""
"505";"Deudas representadas en otros valores negociables a corto plazo";""
"506";"Intereses a corto plazo de empréstitos y otras emisiones análogas";""
"507";"Dividendos de acciones o participaciones consideradas como pasivos financieros";""
"5090";"Obligaciones y bonos amortizados";""
"5091";"Obligaciones y bonos convertibles amortizados";""
"5095";"Otros valores negociables amortizados";""
"51";"Deudas a corto plazo con partes vinculadas";""
"5103";"Deudas a corto plazo con entidades de crédito, empresas del grupo";""
"5104";"Deudas a corto plazo con entidades de crédito, empresas asociadas";""
"5105";"Deudas a corto plazo con otras entidades de crédito vinculadas";""
"5113";"Proveedores de inmovilizado a corto plazo, empresas del grupo";""
"5114";"Proveedores de inmovilizado a corto plazo, empresas asociadas";""
"5115";"Proveedores de inmovilizado a corto plazo, otras partes vinculadas";""
"5123";"Acreedores por arrendamiento financiero a corto plazo, empresas del grupo";""
"5124";"Acreedores por arrendamiento financiero a corto plazo, empresas asociadas";""
"5125";"Acreedores por arrendamiento financiero a corto plazo, otras partes vinculadas";""
"5133";"Otras deudas a corto plazo con empresas del grupo";""
"5134";"Otras deudas a corto plazo con empresas asociadas";""
"5135";"Otras deudas a corto plazo con otras partes vinculadas";""
"5143";"Intereses a corto plazo de deudas, empresas del grupo";""
"5144";"Intereses a corto plazo de deudas, empresas asociadas";""
"5145";"Intereses a corto plazo de deudas, otras partes vinculadas";""
"52";"Deudas a corto plazo por prestamos recibidos y otros conceptos";""
"5200";"Préstamos a corto plazo de entidades de crédito";""
"5201";"Deudas a corto plazo por crédito dispuesto";""
"5208";"Deudas por efectos descontados";""
"5209";"Deudas por operaciones de factoring";""
"521";"Deudas a corto plazo";""
"522";"Deudas a corto plazo transformables en subvenciones, donaciones y legados";""
"523";"Proveedores de inmovilizado a corto plazo";""
"524";"Acreedores por arrendamiento financiero a corto plazo";""
"525";"Efectos a pagar a corto plazo";""
"526";"Dividendo activo a pagar";""
"527";"Intereses a corto plazo de deudas con entidades de crédito";""
"528";"Intereses a corto plazo de deudas";""
"5290";"Provisión a corto plazo por retribuciones al personal";""
"5291";"Provisión a corto plazo para impuestos";""
"5292";"Provisión a corto plazo para otras responsabilidades";""
"5293";"Provisión a corto plazo por desmantelamiento, retiro o rehabilitación del inmovilizado";""
"5295";"Provisión a corto plazo para actuaciones medioambientales";""
"5296";"Provisión a corto plazo para reestructuraciones";""
"5297";"Provisión a corto plazo por transacciones con pagos basados en instrumentos de patrimonio";""
"53";"Inversiones financieras a corto plazo en partes vinculadas";""
"5303";"Participaciones a corto plazo, en empresas del grupo";""
"5304";"Participaciones a corto plazo, en empresas asociadas";""
"5305";"Participaciones a corto plazo, en otras partes vinculadas";""
"5313";"Valores representativos de deuda a corto plazo de empresas del grupo";""
"5314";"Valores representativos de deuda a corto plazo de empresas asociadas";""
"5315";"Valores representativos de deuda a corto plazo de otras partes vinculadas";""
"5323";"Créditos a corto plazo a empresas del grupo";""
"5324";"Créditos a corto plazo a empresas asociadas";""
"5325";"Créditos a corto plazo a otras partes vinculadas";""
"5333";"Intereses a corto plazo de valores representativos de deuda de empresas del grupo";""
"5334";"Intereses a corto plazo de valores representativos de deuda de empresas asociadas";""
"5335";"Intereses a corto plazo de valores representativos de deuda de otras partes vinculadas";""
"5343";"Intereses a corto plazo de créditos a empresas del grupo";""
"5344";"Intereses a corto plazo de créditos a empresas asociadas";""
"5345";"Intereses a corto plazo de créditos a otras partes vinculadas";""
"5353";"Dividendo a cobrar de empresas de grupo";""
"5354";"Dividendo a cobrar de empresas asociadas";""
"5355";"Dividendo a cobrar de otras partes vinculadas";""
"5393";"Desembolsos pendientes sobre participaciones a corto plazo en empresas del grupo.";""
"5394";"Desembolsos pendientes sobre participaciones a corto plazo en empresas asociadas.";""
"5395";"Desembolsos pendientes sobre participaciones a corto plazo en otras partes vinculadas";""
"54";"Otras inversiones financieras a corto plazo";""
"540";"Inversiones financieras a corto plazo en instrumentos de patrimonio";""
"541";"Valores representativos de deuda a corto plazo";""
"542";"Créditos a corto plazo";""
"543";"Créditos a corto plazo por enajenación de inmovilizado";""
"544";"Créditos a corto plazo al personal";""
"545";"Dividendo a cobrar";""
"546";"Intereses a corto plazo de valores representativos de deudas";""
"547";"Intereses a corto plazo de créditos";""
"548";"Imposiciones a corto plazo";""
"549";"Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo";""
"55";"Otras cuentas no bancarias";""
"550";"Titular de la explotación";""
"551";"Cuenta corriente con socios y administradores";""
"5523";"Cuenta corriente con empresas del grupo";""
"5524";"Cuenta corriente con empresas asociadas";""
"5525";"Cuenta corriente con otras partes vinculadas";""
"5530";"Socios de sociedad disuelta";""
"5531";"Socios, cuenta de fusión";""
"5532";"Socios de sociedad escindida";""
"5533";"Socios, cuenta de escisión";""
"554";"Cuenta corriente con uniones temporales de empresas y comunidades de bienes";""
"555";"Partidas pendientes de aplicación";"SUPLI"
"5563";"Desembolsos exigidos sobre participaciones, empresas del grupo";""
"5564";"Desembolsos exigidos sobre participaciones, empresas asociadas";""
"5565";"Desembolsos exigidos sobre participaciones, otras partes vinculadas";""
"5566";"Desembolsos exigidos sobre participaciones de otras empresas";""
"557";"Dividendo activo a cuenta";""
"5580";"Socios por desembolsos exigidos sobre acciones o participaciones ordinarias";""
"5585";"Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros";""
"5590";"Activos por derivados financieros a corto plazo, cartera de negociación";""
"5593";"Activos por derivados financieros a corto plazo, instrumentos de cobertura";""
"5595";"Pasivos por derivados financieros a corto plazo, cartera de negociación";""
"5598";"Pasivos por derivados financieros a corto plazo, instrumentos de cobertura";""
"56";"Fianzas y depósitos recibidos y constituidos a corto plazo y ajustes por periodificación";""
"560";"Fianzas recibidas a corto plazo";""
"561";"Depósitos recibidos a corto plazo";""
"565";"Fianzas constituidas a corto plazo";""
"566";"Depósitos constituidos a corto plazo";""
"567";"Intereses pagados por anticipado";""
"568";"Intereses cobrados por anticipado";""
"569";"Garantías financieras a corto plazo";""
"57";"Tesorería";""
"570";"Caja, euros";"CAJA"
"571";"Caja, moneda extranjera";""
"572";"Bancos e instituciones de crédito c/c vista, euros";""
"573";"Bancos e instituciones de crédito c/c vista, moneda extranjera";""
"574";"Bancos e instituciones de crédito, cuentas de ahorro, euros";""
"575";"Bancos e instituciones de crédito, cuentas de ahorro, moneda extranjera";""
"576";"Inversiones a corto plazo de gran liquidez";""
"58";"Activos no corrientes mantenidos para la venta y activos y pasivos asociados";""
"580";"Inmovilizado";""
"581";"Inversiones con personas y entidades vinculadas";""
"582";"Inversiones financieras";""
"583";"Existencias, deudores comerciales y otras cuentas a cobrar";""
"584";"Otros activos";""
"585";"Provisiones";""
"586";"Deudas con características especiales";""
"587";"Deudas con personas y entidades vinculadas";""
"588";"Acreedores comerciales y otras cuentas a pagar";""
"589";"Otros pasivos";""
"59";"Deterioro del valor de inversiones financieras a corto plazo y de activos no corrientes mantenidos para la venta";""
"5933";"Deterioro de valor de participaciones a corto plazo en empresas del grupo";""
"5934";"Deterioro de valor de participaciones a corto plazo en empresas asociadas";""
"5943";"Deterioro de valor de valores representativos de deuda a corto plazo de empresas del grupo";""
"5944";"Deterioro de valor de valores representativos de deuda a corto plazo de empresas asociadas";""
"5945";"Deterioro de valor de valores representativos de deuda a corto plazo de otras partes vinculadas";""
"5953";"Deterioro de valor de créditos a corto plazo a empresas del grupo";""
"5954";"Deterioro de valor de créditos a corto plazo a empresas asociadas";""
"5955";"Deterioro de valor de créditos a corto plazo a otras partes vinculadas";""
"597";"Deterioro de valor de valores representativos de deuda a corto plazo";""
"598";"Deterioro de valor de créditos a corto plazo";""
"5990";"Deterioro de valor de inmovilizado no corriente mantenido para la venta";""
"5991";"Deterioro de valor de inversiones con personas y entidades vinculadas no corrientes mantenidas para la venta";""
"5992";"Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta";""
"5993";"Deterioro de valor de existencias, deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta";""
"5994";"Deterioro de valor de otros activos mantenidos para la venta";""
"6";"Compras y gastos";""
"60";"Compras";""
"600";"Compras de mercaderías";"COMPRA"
"601";"Compras de materias primas";""
"602";"Compras de otros aprovisionamientos";""
"6060";"Descuentos sobre compras por pronto pago de mercaderías";""
"6061";"Descuentos sobre compras por pronto pago de materias primas";""
"6062";"Descuentos sobre compras por pronto pago de otros aprovisionamientos";""
"607";"Trabajos realizados por otras empresas";""
"6080";"Devoluciones de compras de mercaderías";"DEVCOM"
"6081";"Devoluciones de compras de materias primas";""
"6082";"Devoluciones de compras de otros aprovisionamientos";""
"6090";"Rappels por compras de mercaderías";""
"6091";"Rappels por compras de materias primas";""
"6092";"Rappels por compras de otros aprovisionamientos";""
"61";"Variación de existencias";""
"610";"Variación de existencias de mercaderías";""
"611";"Variación de existencias de materias primas";""
"612";"Variación de existencias de otros aprovisionamientos";""
"62";"Servicios exteriores";""
"620";"Gastos en investigación y desarrollo del ejercicio";""
"621";"Arrendamientos y cánones";""
"622";"Reparaciones y conservación";""
"623";"Servicios de profesionales independientes";""
"624";"Transportes";""
"625";"Primas de seguros";""
"626";"Servicios bancarios y similares";""
"627";"Publicidad, propaganda y relaciones públicas";""
"628";"Suministros";""
"629";"Otros servicios";""
"63";"Tributos";""
"6300";"Impuesto corriente";""
"6301";"Impuesto diferido";""
"631";"Otros tributos";""
"633";"Ajustes negativos en la imposición sobre beneficios";""
"6341";"Ajustes negativos en iva de activo corriente";""
"6342";"Ajustes negativos en iva de inversiones";""
"636";"Devolución de impuestos";""
"638";"Ajustes positivos en la imposición sobre beneficios";""
"6391";"Ajustes positivos en iva de activo corriente";""
"6392";"Ajustes positivos en iva de inversiones";""
"64";"Gastos de personal";""
"640";"Sueldos y salarios";""
"641";"Indemnizaciones";""
"642";"Seguridad social a cargo de la empresa";""
"643";"Retribuciones a largo plazo mediante sistemas de aportación definida";""
"6440";"Contribuciones anuales";""
"6442";"Otros costes";""
"6450";"Retribuciones al personal liquidados con instrumentos de patrimonio";""
"6457";"Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio";""
"649";"Otros gastos sociales";""
"65";"Otros gastos de gestión";""
"650";"Pérdidas de créditos comerciales incobrables";""
"6510";"Beneficio transferido (gestor)";""
"6511";"Pérdida soportada (partícipe o asociado no gestor)";""
"659";"Otras pérdidas en gestión corriente";""
"66";"Gastos financieros";""
"660";"Gastos financieros por actualización de provisiones";""
"6610";"Intereses de obligaciones y bonos a largo plazo, empresas del grupo";""
"6611";"Intereses de obligaciones y bonos a largo plazo, empresas asociadas";""
"6612";"Intereses de obligaciones y bonos a largo plazo, otras partes vinculadas";""
"6613";"Intereses de obligaciones y bonos a largo plazo, otras empresas";""
"6615";"Intereses de obligaciones y bonos a corto plazo, empresas del grupo";""
"6616";"Intereses de obligaciones y bonos a corto plazo, empresas asociadas";""
"6617";"Intereses de obligaciones y bonos a corto plazo, otras partes vinculadas";""
"6618";"Intereses de obligaciones y bonos a corto plazo, otras empresas";""
"6620";"Intereses de deudas, empresas del grupo";""
"6621";"Intereses de deudas, empresas asociadas";""
"6622";"Intereses de deudas, otras partes vinculadas";""
"6623";"Intereses de deudas con entidades de crédito";""
"6624";"Intereses de deudas, otras empresas";""
"6630";"Pérdidas de cartera de negociación";""
"6631";"Pérdidas de designados por la empresa";""
"6632";"Pérdidas de disponibles para la venta";""
"6633";"Pérdidas de instrumentos de cobertura";""
"6640";"Dividendos de pasivos, empresas del grupo";""
"6641";"Dividendos de pasivos, empresas asociadas";""
"6642";"Dividendos de pasivos, otras partes vinculadas";""
"6643";"Dividendos de pasivos, otras empresas";""
